line
"2026-07-27T08:10:50Z	Player registered for Competition #374117 'Brucia il labirinto'"
"2026-08-03T18:20:35Z	CHEAT: (40) Boat moves TOO fast Max: 23, Actual: 23.20838"
"2026-08-03T18:21:55Z	CHEAT: (40) Boat moves TOO fast Max: 23, Actual: 23.33183"
"2026-08-03T18:22:53Z	CHEAT: (40) Undriven boat moves TOO fast Max: 5, Actual: 8.940303"
"2026-08-03T18:28:24Z	CHEAT: (40) Fish catch distance is VERY long Actual: 9.87702369689941, Limit (max): 4.94999980926514"
"2026-08-03T18:32:47Z	CHEAT: (40) Fish catch distance is VERY long Actual: 10.098916053772, Limit (max): 6.89999961853027"
"2026-08-03T18:37:30Z	CHEAT: (40) Fish catch distance is VERY long Actual: 9.38612651824951, Limit (max): 4.94999980926514"
"2026-08-03T18:40:31Z	CHEAT: (1) Tackle is further than max cast length Actual: 18.8384017944336, Limit (max): 12.67884349823"
"2026-08-03T18:44:51Z	CHEAT: (1) Tackle is further than max cast length Actual: 10.9271612167358, Limit (max): 5.48957872390747"
"2026-08-03T18:48:06Z	CHEAT: (40) Fish catch distance is VERY long Actual: 8.4987964630127, Limit (max): 4.94999980926514"
"2026-08-03T18:59:25Z	CHEAT: (40) Fish catch distance is VERY long Actual: 10.5412139892578, Limit (max): 4.94999980926514"
"2026-08-03T20:00:22Z	About to process tournament Competition #374843 'Raduno di cernie giganti!' result. Place: 17"
"2026-08-03T20:00:22Z	Tournament reward Competition #374843 'Raduno di cernie giganti!' added CompetitionRating -4 (104 -> 100)"
"2026-08-04T17:28:00Z	About to process tournament Competition #374844 'Luccio al chiaro di luna' result. Place: "
"2026-08-04T17:28:00Z	Tournament reward Competition #374844 'Luccio al chiaro di luna' added CompetitionRating -11 (100 -> 89)"
"2026-08-04T19:03:58Z	CHEAT: (1) Distance from tackle to attacking fish is long while reeling Actual: 8.11472225189209, Limit (max): 7"
"2026-08-04T20:52:08Z	Player registered for Competition #374929 'Salmoni di mezzanotte a bizzeffe'"
"2026-08-05T10:47:42Z	About to process tournament Competition #374929 'Salmoni di mezzanotte a bizzeffe' result. Place: "
"2026-08-05T10:47:42Z	Tournament reward Competition #374929 'Salmoni di mezzanotte a bizzeffe' added CompetitionRating -13 (89 -> 76)"
"2026-08-05T10:48:28Z	Player registered for Competition #376072 'Tiro alla fune con i Marlin!'"
"2026-08-05T10:49:43Z	Player registered for Competition #376073 'Luccio al chiaro di luna'"
"2026-08-05T13:07:32Z	Player started scoring time for Competition #376072 'Tiro alla fune con i Marlin!' in Group A. IP: 82.57.66.192, Mac: f8461c41b4f4"
"2026-08-05T13:19:20Z	CHEAT: (40) Fish catch distance is VERY long Actual: 9.946946144104, Limit (max): 5.25"
"2026-08-05T13:32:05Z	CHEAT: (40) Fish catch distance is VERY long Actual: 8.43732070922852, Limit (max): 5.25"
"2026-08-05T13:33:29Z	CHEAT: (1) Line has high extension too often Actual: 0.454223475981229, Limit (max): 0.400000005960464"
"2026-08-05T13:38:26Z	CHEAT: (40) Fish catch distance is VERY long Actual: 9.6863431930542, Limit (max): 5.25"
"2026-08-05T13:40:02Z	CHEAT: (1) Tackle moves away from player too often Actual: 0.379717286400195, Limit (max): 0.300000011920929"
"2026-08-05T13:40:02Z	CHEAT: (1) Tackle moves away from player too often Actual: 0.379717286400195, Limit (max): 0.300000011920929"
"2026-08-05T13:40:02Z	CHEAT: (1) Line has high extension too often Actual: 0.72701762786865, Limit (max): 0.400000005960464"
"2026-08-05T13:40:10Z	CHEAT: (1) Line has high extension too often Actual: 0.421760741046451, Limit (max): 0.400000005960464"
"2026-08-05T13:45:25Z	CHEAT: (10) Line has critical extension too often Actual: 0.359728253496564, Limit (max): 0.100000001490116"
"2026-08-05T13:46:48Z	CHEAT: (40) Fish catch distance is VERY long Actual: 10.5412702560425, Limit (max): 5.25"
"2026-08-05T13:48:10Z	CHEAT: (1) Line has high extension too often Actual: 0.727704340819007, Limit (max): 0.400000005960464"
"2026-08-05T13:48:10Z	CHEAT: (10) Line has critical extension too often Actual: 0.253707077033743, Limit (max): 0.100000001490116"
"2026-08-05T13:49:43Z	CHEAT: (40) Fish catch distance is VERY long Actual: 11.3094959259033, Limit (max): 5.25"
"2026-08-05T13:57:27Z	CHEAT: (40) Fish catch distance is VERY long Actual: 8.39261817932129, Limit (max): 7.5"
"2026-08-05T19:46:23Z	About to process tournament Competition #376073 'Luccio al chiaro di luna' result. Place: "
"2026-08-05T19:46:23Z	Tournament reward Competition #376073 'Luccio al chiaro di luna' added CompetitionRating -11 (76 -> 65)"
"2026-08-05T19:46:23Z	About to process tournament Competition #376072 'Tiro alla fune con i Marlin!' result. Place: 8"
"2026-08-05T19:46:23Z	Tournament reward Competition #376072 'Tiro alla fune con i Marlin!' added CompetitionRating 20 (65 -> 85)"
"2026-08-05T19:52:35Z	Player registered for Competition #376077 'Uno corto e uno lungo'"
"2026-08-05T22:27:47Z	Player started scoring time for Competition #376077 'Uno corto e uno lungo' in Group A. IP: 82.57.66.192, Mac: f8461c41b4f4"
"2026-08-06T00:00:24Z	About to process tournament Competition #376077 'Uno corto e uno lungo' result. Place: 9"
"2026-08-06T00:00:24Z	Tournament reward Competition #376077 'Uno corto e uno lungo' added CompetitionRating 15 (85 -> 100)"
"2026-08-06T21:09:04Z	Player registered for Competition #376089 'Raduno di cernie giganti!'"
"2026-08-06T21:19:27Z	Player registered for Competition #376093 'Caccia all’albino fortunato'"
"2026-08-06T21:19:50Z	Player registered for Competition #376094 'Caccia all'abramide da sogno'"
"2026-08-07T06:31:24Z	About to process tournament Competition #376089 'Raduno di cernie giganti!' result. Place: "
"2026-08-07T06:31:24Z	Tournament reward Competition #376089 'Raduno di cernie giganti!' added CompetitionRating -20 (100 -> 80)"
"2026-08-07T06:45:38Z	Player started scoring time for Competition #376093 'Caccia all’albino fortunato' in Group A. IP: 82.57.66.192, Mac: f8461c41b4f4"
"2026-08-07T08:00:10Z	About to process tournament Competition #376093 'Caccia all’albino fortunato' result. Place: 2"
"2026-08-07T08:00:10Z	Tournament reward Competition #376093 'Caccia all’albino fortunato' added CompetitionRating 42 (80 -> 122)"
"2026-08-07T08:31:08Z	Player registered for Competition #376097 'Cacciatore di trote'"
"2026-08-07T08:31:17Z	Player registered for Competition #376099 'Una gara davvero unica!'"
"2026-08-07T08:31:27Z	Player registered for Competition #376098 'Uno per uno'"
"2026-08-07T10:31:19Z	About to process tournament Competition #376094 'Caccia all'abramide da sogno' result. Place: "
"2026-08-07T10:31:19Z	Tournament reward Competition #376094 'Caccia all'abramide da sogno' added CompetitionRating -13 (122 -> 109)"
"2026-08-07T16:00:09Z	About to process tournament Competition #376097 'Cacciatore di trote' result. Place: "
"2026-08-07T16:00:09Z	Tournament reward Competition #376097 'Cacciatore di trote' added CompetitionRating -10 (109 -> 99)"
"2026-08-07T18:38:38Z	About to process tournament Competition #376098 'Uno per uno' result. Place: "
"2026-08-07T18:38:38Z	Tournament reward Competition #376098 'Uno per uno' added CompetitionRating -10 (99 -> 89)"
"2026-08-07T18:40:17Z	Player registered for Competition #376100 'Vola come una farfalla, nuota come un Bass'"
"2026-08-07T20:00:08Z	About to process tournament Competition #376099 'Una gara davvero unica!' result. Place: "
"2026-08-07T20:00:08Z	Tournament reward Competition #376099 'Una gara davvero unica!' added CompetitionRating -11 (89 -> 78)"
"2026-08-07T21:13:51Z	Player started scoring time for Competition #376100 'Vola come una farfalla, nuota come un Bass' in Group A. IP: 82.57.66.192, Mac: f8461c41b4f4"
"2026-08-07T21:18:08Z	CHEAT: (1) Attack time is short Actual: 3.34765338897705, Limit (min): 3.5"
"2026-08-07T21:23:45Z	CHEAT: (10) Attack time is VERY short Actual: 2.93331670761108, Limit (min): 3"
"2026-08-07T22:00:22Z	About to process tournament Competition #376100 'Vola come una farfalla, nuota come un Bass' result. Place: 1"
"2026-08-07T22:00:22Z	Tournament reward Competition #376100 'Vola come una farfalla, nuota come un Bass' added CompetitionRating 30 (78 -> 108)"
"2026-08-08T11:54:53Z	Player registered for Competition #376108 'Carpa jolly'"
"2026-08-08T13:28:29Z	Player registered for Competition #376109 'Minaccia sanguinosa'"
"2026-08-08T13:35:42Z	Player registered for Competition #376111 'Caccia alla Spigola ad alta velocità'"
"2026-08-08T14:00:04Z	About to process tournament Competition #376108 'Carpa jolly' result. Place: "
"2026-08-08T14:00:04Z	Tournament reward Competition #376108 'Carpa jolly' added CompetitionRating -15 (108 -> 93)"
"2026-08-09T12:12:15Z	About to process tournament Competition #376109 'Minaccia sanguinosa' result. Place: "
"2026-08-09T12:12:15Z	Tournament reward Competition #376109 'Minaccia sanguinosa' added CompetitionRating -15 (93 -> 78)"
"2026-08-09T12:12:15Z	About to process tournament Competition #376111 'Caccia alla Spigola ad alta velocità' result. Place: "
"2026-08-09T12:12:15Z	Tournament reward Competition #376111 'Caccia alla Spigola ad alta velocità' added CompetitionRating -15 (78 -> 63)"
"2026-08-09T12:13:18Z	Player registered for Competition #376121 'Le dimensioni contano'"
"2026-08-09T12:13:24Z	Player registered for Competition #376124 'Sfida di Spigole'"
"2026-08-09T12:13:31Z	Player registered for Competition #376123 'Scontro finale di Trota Steelhead'"
"2026-08-09T14:16:19Z	Player started scoring time for Competition #376121 'Le dimensioni contano' in Group A. IP: 82.57.66.192, Mac: f8461c41b4f4"
"2026-08-09T16:00:19Z	About to process tournament Competition #376121 'Le dimensioni contano' result. Place: 3"
"2026-08-09T16:00:20Z	Tournament reward Competition #376121 'Le dimensioni contano' added CompetitionRating 25 (63 -> 88)"
"2026-08-09T20:00:09Z	About to process tournament Competition #376123 'Scontro finale di Trota Steelhead' result. Place: "
"2026-08-09T20:00:09Z	Tournament reward Competition #376123 'Scontro finale di Trota Steelhead' added CompetitionRating -11 (88 -> 77)"
"2026-08-09T20:34:54Z	Player registered for Competition #376125 'A macchie o a pinima?'"
"2026-08-09T20:48:13Z	Player started scoring time for Competition #376124 'Sfida di Spigole' in Group A. IP: 82.57.66.192, Mac: f8461c41b4f4"
"2026-08-09T22:00:40Z	About to process tournament Competition #376124 'Sfida di Spigole' result. Place: 2"
"2026-08-09T22:00:40Z	Tournament reward Competition #376124 'Sfida di Spigole' added CompetitionRating 27 (77 -> 104)"
