original_nickname	variant_1	variant_2	variant_3	email	category	notes
jm costarica	jm	jmcostarica	jm_costarica		multi_word_compacted	Initials+country; try forms
JMJ	JMJ				other	Initials; verbatim
JPHW81_x	JPHW81_x				other	Normal nick verbatim
Kmullins87	Kmullins87				other	Normal nick verbatim
Lt_major_laser	Lt_major_laser	Ltmajorlaser	Lt.major.laser		other	Normal nick verbatim
Majiiiii_420000	Majiiiii_420000				other	Normal nick verbatim
Malachi Bey (inchiwetrust PS5)	inchiwetrust	Malachi Bey	MalachiBey		parens_extracted	Parens contains PSN nick
Martink_76	Martink_76				other	Normal nick verbatim
Melo70	Melo70				other	Normal nick verbatim
Milokhan7	Milokhan7				other	Normal nick verbatim
Mind_Hacker	Mind_Hacker				other	Normal nick verbatim
MMT	MMT				other	Initials; verbatim
namu	namu				other	Normal nick verbatim
newish - ferry 1234	newish	ferry1234	newish-ferry1234		trimmed_suffix	Dash-separated; try parts
NismoBDS	NismoBDS				other	Normal nick verbatim
No ty	Noty	No_ty	No ty		multi_word_compacted	Two-word; try compacted
Nrizzel	Nrizzel				other	Normal nick verbatim
Nscrgrl	Nscrgrl				other	Normal nick verbatim
Olivier59164	Olivier59164				possible_real_name	Real name plus postcode; verbatim
Pahu80	Pahu80				other	Normal nick verbatim
Panda Man Jack	PandaManJack	Panda_Man_Jack	Panda Man Jack		multi_word_compacted	Three-word; compact variants
Quentin71	Quentin71				possible_real_name	First name plus digits; verbatim
Quiberon 1958	Quiberon1958	Quiberon_1958	Quiberon 1958		multi_word_compacted	Place+year; compact
Red99fan	Red99fan				other	Normal nick verbatim
rucu_narelo	rucu_narelo				other	Normal nick verbatim
s	s				other	Single letter; verbatim
Sandman	Sandman				other	Normal nick verbatim
SHOGUN 77	SHOGUN77	SHOGUN_77	SHOGUN 77		multi_word_compacted	Word+digits; compact
strict88 [test]	strict88				brackets_removed	Strip [test] bracket suffix
Sully	Sully				other	Normal nick verbatim
Sunshinebard	Sunshinebard				other	Normal nick verbatim
Tak	Tak				other	Short nick; verbatim
Tamasannttamigayu 90	Tamasannttamigayu	Tamasannttamigayu90	Tamasannttamigayu_90		trimmed_suffix	Trailing level number; strip/compact
The goon man	Thegoonman	The_goon_man	The goon man		multi_word_compacted	Three-word phrase; compact
TheHappyLoaf_74	TheHappyLoaf_74				other	Normal nick verbatim
TOBACCOspit	TOBACCOspit				other	Normal nick verbatim
ToddCommish	ToddCommish				other	Normal nick verbatim
Tru2dis	Tru2dis				other	Normal nick verbatim
TypsyGrasshopper....	TypsyGrasshopper				trimmed_suffix	Trailing dots; strip
unnamed_voyager0	unnamed_voyager0				other	Normal nick verbatim
Veroneze	Veroneze				other	Normal nick verbatim
W7w7	W7w7				other	Short nick; verbatim
WreckedHellsboy	WreckedHellsboy				other	Normal nick verbatim
