PolledNickname,MatchedUsername,Level,Country,IsPayer
Hyppy1975-1,hyppy1975-1,105,es,1
IamBlazey26,IamBlazey26,13,au,0
ice,,,,0
IceNorth,IceNorth,74,se,1
iiTzDRFTz,iiTzDRFTz,92,nz,1
iLukys-,iLukys-,110,fr,1
ImJustJoshing-_-,ImJustJoshing-_-,92,us,1
ImMerty,ImMerty,89,us,1
import_jedi,import_jedi,100,us,1
infernalspeed1,infernalspeed1,20,ro,0
Irishtiger71,irishtiger71,103,us,1
ItzPedro2401,ItzPedro2401,110,pt,1
JacknaBox-Napier,JacknaBox-Napier,110,au,1
James-VX9-,James-VX9-,92,us,1
Jamminwelch,,,,0
JAugusto77,JAugusto77,106,br,1
Javiersann16,Javiersann16,70,mx,0
Jax_Teller_1471,Jax_Teller_1471,29,gb,1
Jayblaster1090,jayblaster1090,44,us,1
Jazzyktid,jazzyktid,98,gb,1
Jbird-Mnstrek,Jbird-Mnstrek,101,us,1
Jedin68,,,,0
jeffdailey,jeffdailey,110,us,1
Jellied_zany4,,,,0
Jim_Myers_1975,Jim_Myers_1975,64,us,1
jj,,,,0
jm costarica,,,,0
JMJ,,,,0
JPHW81_x,,,,0
JR271972,JR271972,99,us,1
Juanpablo244,juanpablo244,77,gb,1
KasiKamasoto,KasiKamasoto,86,de,1
Keefe90,Keefe90,103,ie,1
Kesh0N_family,Kesh0N_family,48,ru,1
KFRESH1016,KFRESH1016,79,us,1
Kiehlian,Kiehlian,99,de,1
kikiisbot,kikiisbot,102,hr,1
Killakillz85,killakillz85,77,ca,1
King-Gc93,king-Gc93,80,fr,0
KINGZARAKI87TV,KINGZARAKI87TV,61,it,1
Kmullins87,,,,0
KPAZ05,KPAZ05,102,hn,1
Kusuu__,Kusuu__,77,pl,1
KWCALL2009,KWCALL2009,110,us,1
Kylendykstra,KylenDykstra,55,us,1
La_Patate_Fr,La_Patate_Fr,60,fr,1
Lambari_Unico,Lambari_unico,20,br,0
landed_popcorn21,landed_popcorn21,40,us,1
laraizguana,laraizguana,82,es,1
Legbo_d,legbo_d,100,ua,1
lNatsulDragneel,lNatsulDragneel,105,de,1
Locomotiva_3,Locomotiva_3,110,it,1
Lone_Wolf_0101,Lone_Wolf_0101,110,us,1
Lone_Wolf7445,Lone_Wolf7445,106,nz,1
Lonestarblue,LONESTARBLUE,108,us,1
Looleouf44,looleouf44,110,fr,1
loraporter1,loraporter1,98,us,1
Lordfudgeem,lordfudgeem,52,us,1
Lordie_23,Lordie_23,53,au,1
LPB_Lucifer,LPB_Lucifer,100,es,1
Lt_major_laser,,,,0
LTrain1979,LTrain1979,54,us,1
Luca_4334,luca_4334,41,ro,0
Lucas,lucas,2,es,0
LZ23J7KS,LZ23J7KS,110,pl,1
m1ghtyr1ce,m1ghtyr1ce,86,ca,1
Madbotanyferret,Madbotanyferret,99,us,1
Madhat421,MadHat421,75,us,1
MagnesiumVerla,MagnesiumVerla,107,de,1
MajesticMinxi,MajesticMinxi,78,ch,1
Majiiiii_420000,,,,0
MAKEE17,MAKEE17,77,es,1
Malachi Bey (inchiwetrust PS5),,,,0
Marcos_Ale07,Marcos_Ale07,30,ar,0
Martink_76,,,,0
McBoogerbowls,McBoogerbowls,42,gb,1
Mejilloncito,mejilloncito,107,fr,1
Melo70,,,,0
Merino_falador,merino_falador,105,br,1
MescaBug,mescabug,87,ca,1
Miguelo_333,Miguelo_333,109,es,1
MIKEFOGLESTINE,MIKEFOGLESTINE,109,us,1
Milokhan7,,,,0
Mind_Hacker,,,,0
MKOOL777,MKOOL777,40,za,0
MMT,,,,0
Mobie1981,mobie1981,106,us,1
Mocarz199,Mocarz199,74,pl,1
MrGreen420_3522,MrGreen420_3522,85,za,1
MRiveraP,MRiveraP,88,es,1
MrRhole,MrRhole,110,my,1
MSGaming62,MSgaming62,53,fr,1
MuncaciuAlex,MuncaciuAlex,103,ro,1
myriad_canoe9,myriad_canoe9,54,ua,1
MystiqueFoxy,MystiqueFoxy,81,za,1
namu,,,,0
Nano007_Lxp,Nano007_Lxp,110,mx,1
newish - ferry 1234,,,,0
Niiglo77,niiglo77,110,fr,1
Nikkeus87,Nikkeus87,82,fi,1
ninolarisson,ninolarisson,40,fr,1
NismoBDS,,,,0
Nitro4300,Nitro4300,6,au,0
Nmphidelt708,NMPhiDelt708,102,us,1
No ty,,,,0
Northupt01,Northupt01,89,us,1
Nrizzel,,,,0
Nscrgrl,,,,0
NtotheRizzel,NtotheRizzel,103,de,1
OdinTheWise01,OdinTheWise01,110,us,1
oempie,oempie,96,us,1
Official_Airwolf,Official_Airwolf,84,de,1
Olivier59164,,,,0
onry_old_lady,onry_old_lady,103,us,1
ORimvis_560,ORimvis_560,103,gb,1
Padok_VT,Padok_VT,106,bg,1
Pahu80,,,,0
Panda Man Jack,,,,0
Patpaperpot,Patpaperpot,110,ca,1
Patriots_Fan2014,Patriots_Fan2014,107,us,1
Paweltiger,paweltiger,110,pl,1
Peraltarichard82,peraltarichard82,78,ar,1
Perfect_dutchy,Perfect_dutchy,110,nl,1
Pierrot14,pierrot14,104,fr,1
pillard-festif,pillard-festif,110,fr,1
Pla2uk1404,Pla2uk1404,107,gb,1
Platini2000,Platini2000,110,nl,1
plavi0428,plavi0428,70,jp,0
PostNutCig,PostNutCig,66,us,1
Proz_For_Life,Proz_For_Life,107,ca,1
QG_Pedr__oN,QG_Pedr__oN,110,us,1
Quentin71,,,,0
Quiberon 1958,,,,0
rabolio41100,rabolio41100,108,fr,1
RAGNARlodbrock76,RAGNARlodbrock76,68,fr,1
rakowiak1921,rakowiak1921,44,pl,1
RAZER_Ned,RAZER_Ned,98,nl,1
ReBeL_X_ZA,ReBeL_X_ZA,110,za,1
Red99fan,,,,0
Reelevan,ReeLevan,40,us,1
Rem07100,Rem07100,24,fr,0
Renatao_EM,Renatao_EM,105,pt,1
RFF-Tomtheflush,RFF-Tomtheflush,109,gb,1
Ribicc181,Ribicc181,73,si,1
Ribread123NMS,Ribread123NMS,76,nz,1
Rikisi_no_Toiki7,Rikisi_no_Toiki7,88,jp,1
Rob,rob,4,au,0
rodney_mareco,rodney_mareco,44,py,0
rontti56,rontti56,110,fi,1
rosco__17,rosco__17,98,ca,1
RosUnbent,RosUnbent,110,ua,1
rubberchicken861,rubberchicken861,45,us,0
rucu_narelo,,,,0
ruiteixeira10,ruiteixeira10,109,pt,1
s,,,,0
sagsave,sagsave,72,us,1
Sandman,,,,0
Schexmix98,schexmix98,91,us,1
schoby,schoby,104,de,1
ScottyInNZ,ScottyInNZ,110,nz,1
SeanOgMcC7,SeanOgMcC7,101,gb,1
Serpikko,serpikko,61,it,1
SewerRatx,SewerRatx,110,gb,1
Shakenbake178,ShakenBake178,110,au,1
SHOGUN 77,,,,0
Shootdeer,shootdeer,97,us,1
Siilent_Ways,Siilent_Ways,89,us,1
Simba797,Simba797,109,es,1
sinisterstealth4,sinisterstealth4,54,us,1
Sir_Sharkie,Sir_Sharkie,83,us,1
sjclack,sjclack,109,gb,1
SkIeThOm,SkIeThOm,21,za,0
Slick_Shot_21,Slick_Shot_21,82,gb,1
SMBLOM,SMBLOM,7,ca,0
SnookDogg76,SnookDogg76,86,nl,1
sober_one80_,sober_one80_,110,ca,1
sockenterrorist-,sockenterrorist-,86,de,1
Soco2754,Soco2754,20,us,1
Spasamalake,Spasamalake,105,de,1
SpecialGamer87,SpecialGamer87,86,gb,1
Special-meaning4,special-meaning4,41,us,0
ssmith1969,ssmith1969,31,us,1
stabe76600,stabe76600,90,fr,1
ste170787,ste170787,104,it,1
strict88 [test],,,,0
Stump__Daddy,Stump__Daddy,76,us,1
Sully,,,,0
Sunshinebard,,,,0
Super_CHI911,Super_CHI911,89,ar,0
SyNy673,SyNy673,102,au,1
szablo76,szablo76,106,pl,1
Tak,,,,0
Takayatodorokii,Takayatodorokii,105,it,1
Tamasannttamigayu 90,,,,0
Tasta260,Tasta260,110,no,1
TdD_Woldon07YT,TdD_Woldon07YT,40,es,0
telatnayir66,telatnayir66,95,tr,1
TH3VO1DWALK3R,TH3VO1DWALK3R,84,us,1
The goon man,,,,0
TheGate_SA,TheGate_SA,71,za,1
TheHappyLoaf_74,,,,0
Theunrealisticpa,theunrealisticpa,55,us,1
TheYellow_Evo_8,TheYellow_Evo_8,35,at,1
thomas01121982,thomas01121982,110,de,1
Thornwell8150,thornwell8150,61,us,1
thugkenndogg,thugkenndogg,104,us,1
Timoteillo2,Timoteillo2,107,es,1
TOBACCOspit,,,,0
ToddCommish,,,,0
TokiGlassBlower,TokiGlassBlower,106,us,1
tomklopp75,tomklopp75,93,de,1
Tone,Tone,2,us,0
TONIO22_X-Series,TONIO22_X-Series,106,fr,1
tony21675,tony21675,98,us,1
Tooterrooskie,Tooterrooskie,55,us,1
ToxicVampire33,ToxicVampire33,60,ca,1
trey6wheels,trey6wheels,44,us,1
Tru2dis,,,,0
Tsumonishi,Tsumonishi,59,us,1
turboinducted,turboinducted,110,us,1
turbolufc1,turbolufc1,56,gb,1
Tutte_Fg,Tutte_Fg,105,es,1
TylerWP2012,TylerWP2012,62,gb,1
TypsyGrasshopper....,,,,0
Ufyu__,ufyu__,66,us,1
umadbruh62-vicep,umadbruh62-vicep,87,us,1
unnamed_voyager0,,,,0
Untidycaptain426,untidycaptain426,110,ae,1
Va_Martynas,Va_Martynas,43,gb,1
Valleyrebel18,Valleyrebel18,39,us,1
Vaperhunter,VaperHunter,105,tr,1
Veroneze,,,,0
VEXQH-YT,VEXQH-YT,49,us,1
VITKOVNORFISHING,VITKOVNORFISHING,107,pl,1
Vojelly,Vojelly,110,us,1
W7w7,,,,0
WaneH_Maxou,WaneH_Maxou,83,fr,1
Waterdeep70,Waterdeep70,46,gb,1
Wayne22_23,wayne22_23,95,us,1
WayzDaddy,WayzDaddy,31,us,1
WembydaAlien,WembydaAlien,110,us,1
WFGlanny2,WFGlanny2,110,us,1
wielkiewiadro420,wielkiewiadro420,62,pl,1
wiil1ttleman,wiil1ttleman,91,us,1
Wodanskrijger,wodanskrijger,44,nl,1
Wolf--Mistress,Wolf--Mistress,110,fr,1
WreckedHellsboy,,,,0
Xifra2105,xifra2105,83,py,1
xoro-jona,xoro-jona,100,mx,0
xray849,xray849,60,za,0
X-Series_Rodrigo,X-Series_Rodrigo,104,pt,1
XW4D3X-,XW4D3X-,96,au,1
xX13DeadP0oL13Xx,xX13DeadP0oL13Xx,91,us,1
XxDAMIAN190,XxDAMIAN190,78,es,1
XxG3t_B4K3Dx,XxG3t_B4K3Dx,98,us,1
YT_Curupt_Gaming,YT_Curupt_Gaming,58,us,1
YUZU___888,YUZU___888,76,au,1
Zackason,ZacKasoN,110,us,1
Zatumbik,Zatumbik,107,us,1
Zink62320,Zink62320,110,fr,1
Z-Trizzle2000,Z-Trizzle2000,72,us,1
